"der", "Wert", "Werte", "Value (Qualitative / Quantitative)"
"der", "Tag", "Tage", "Day"
"der", "Abend", "Abende", "Evening"
"die", "Nacht", "Nächte", "Night"
"der", "Mann", "Männer", "Man"
"die", "Frau", "Frauen", "Woman"
"die", "Frage", "Fragen", "Question"
"die", "Antwort", "Antworten", "Answer"
"der", "Kurs", "Kurse", "Course"
"der", "Dienst", "Dienste", "Service"
"die", "Identität", "Identitäten", "Identity"
"der", "Antrag", "Anträge", "Application (Request)"
"der", "Ausweis", "Ausweise", "ID (Card)"
"das", "Wörterbuch", "Wörterbücher", "Dictionary"
"der","Drucker","Drucker","Printer"
"das","Erlebnis","Erlebnisse","Experience (Emotional)"
"die","Erfahrung","Erfahrungen","Experience (Wisdom)"
