"allowed", "domain"
"true", "cartoonnetwork.com.ar"
"true", "brother.at"
"true", "nestle.at"
"true", "willhaben.at"
"true", "brother.com.au"
"true", "cartoonnetwork.com.au"
"true", "costco.com.au"
"true", "calculator.aws"
"true", "hbom.ax"
"true", "nestle.ba"
"true", "2dehands.be"
"true", "2ememain.be"
"true", "belgium.be"
"true", "nestle.be"
"true", "government.bg"
"true", "nestle.bg"
"true", "olx.com.br"
"true", "toray.com.br"
"true", "vivareal.com.br"
"true", "global.brother"
"true", "canada.ca"
"true", "canon.ca"
"true", "cartoonnetwork.ca"
"true", "costco.ca"
"true", "flixbus.ca"
"true", "folgers.ca"
"true", "international.gc.ca"
"true", "google.ca"
"true", "homesense.ca"
"true", "intel.ca"
"true", "ionos.ca"
"true", "jack-jones.ca"
"true", "jif.ca"
"true", "kijiji.ca"
"true", "marshalls.ca"
"true", "maytag.ca"
"true", "nickplus.ca"
"true", "nordstrom.ca"
"true", "pfizer.ca"
"true", "philips.ca"
"true", "redfin.ca"
"true", "sencanada.ca"
"true", "simonandschuster.ca"
"true", "smuckers.ca"
"true", "sparcanada.ca"
"true", "tripadvisor.ca"
"true", "unilever.ca"
"true", "universalpictures.ca"
"true", "whirlpool.ca"
"true", "winners.ca"
"true", "home.cern"
"true", "admin.ch"
"true", "ag.ch"
"true", "ar.ch"
"true", "ai.ch"
"true", "bs.ch"
"true", "be.ch"
"true", "brother.ch"
"true", "cern.ch"
"true", "ch.ch"
"true", "fr.ch"
"true", "ge.ch"
"true", "gl.ch"
"true", "jura.ch"
"true", "lu.ch"
"true", "ne.ch"
"true", "nestle.ch"
"true", "nw.ch"
"true", "sh.ch"
"true", "sz.ch"
"true", "so.ch"
"true", "sg.ch"
"true", "ti.ch"
"true", "ur.ch"
"true", "vd.ch"
"true", "vs.ch"
"true", "zug.ch"
"true", "nestle.cl"
"true", "g.co"
"true", "99designs.com"
"true", "23andme.com"
"true", "3m.com"
"true", "adevinta.com"
"true", "adidas.com"
"true", "adobe.com"
"true", "adobelogin.com"
"true", "airbnb.com"
"true", "airbus.com"
"true", "airfranceklm.com"
"true", "akastex.com"
"true", "alexa.com"
"true", "alibaba.com"
"true", "alibabacloud.com"
"true", "alibabagroup.com"
"true", "aliexpress.com"
"true", "alliedelec.com"
"true", "amazon.com"
"true", "amazonaws.com"
"true", "amd.com"
"true", "americanexpress.com"
"true", "android.com"
"true", "aol.com"
"true", "apartmentguide.com"
"true", "apple.com"
"true", "asos.com"
"true", "att.com"
"true", "audible.com"
"true", "autodesk.com"
"true", "avancecare.com"
"true", "avery.com"
"true", "avvo.com"
"true", "azure.com"
"true", "bachelorsportal.com"
"true", "bankofamerica.com"
"true", "bbc.com"
"true", "bedbathandbeyond.com"
"true", "benjerry.com"
"true", "berkshirehathaway.com"
"true", "bestbuy.com"
"true", "bing.com"
"true", "blinkforhome.com"
"true", "boeing.com"
"true", "bol.com"
"true", "booking.com"
"true", "boomerangla.com"
"true", "boomerangtvafrica.com"
"true", "boots-uk.com"
"true", "breyers.com"
"true", "brightcloud.com"
"true", "broadcom.com"
"true", "brother.com"
"true", "brother-usa.com"
"true", "bunq.com"
"true", "calibrite.com"
"true", "calvinklein.com"
"true", "canon.com"
"true", "capitalone.com"
"true", "capturingreality.com"
"true", "carrentals.com"
"true", "cars.com"
"true", "cartoonnetwork.com"
"true", "cartoonnetworkafrica.com"
"true", "cartoonnetworkasia.com"
"true", "cartoonnetworkkorea.com"
"true", "cartoonnetworkla.com"
"true", "cbs.com"
"true", "ccldesign.com"
"true", "cclind.com"
"true", "ccllabel.com"
"true", "cclsecure.com"
"true", "century21.com"
"true", "century21global.com"
"true", "certiport.com"
"true", "cgtrader.com"
"true", "checkpointsystems.com"
"true", "chick-fil-a.com"
"true", "chrome.com"
"true", "cisco.com"
"true", "coinbase.com"
"true", "coldwellbanker.com"
"true", "coldwellbankerinternational.com"
"true", "columbia.com"
"true", "coopercos.com"
"true", "coopervision.com"
"true", "coorstek.com"
"true", "costco.com"
"true", "cvs.com"
"true", "daraz.com"
"true", "ddproperty.com"
"true", "dell.com"
"true", "delta.com"
"true", "denhaag.com"
"true", "dhl.com"
"true", "dictionary.com"
"true", "digikey.com"
"true", "dillards.com"
"true", "discord.com"
"true", "discordapp.com"
"true", "discovery.com"
"true", "discoveryplus.com"
"true", "disney.com"
"true", "disneyplus.com"
"true", "dnb.com"
"true", "dolby.com"
"true", "dominos.com"
"true", "dreamworksanimation.com"
"true", "dupont.com"
"true", "earthclassmail.com"
"true", "ebay.com"
"true", "ebayinc.com"
"true", "editionhotels.com"
"true", "ef.com"
"true", "electrocomponents.com"
"true", "epicgames.com"
"true", "equifax.com"
"true", "espn.com"
"true", "etsy.com"
"true", "eventbrite.com"
"true", "expedia.com"
"true", "expediacruises.com"
"true", "expediagroup.com"
"true", "experian.com"
"true", "facebook.com"
"true", "fandango.com"
"true", "fedex.com"
"true", "fiverr.com"
"true", "flixbus.com"
"true", "flstudio.com"
"true", "folgerscoffee.com"
"true", "foodlion.com"
"true", "freelancer.com"
"true", "fujifilm.com"
"true", "gamestop.com"
"true", "gartner.com"
"true", "ge.com"
"true", "github.com"
"true", "glassdoor.com"
"true", "gm.com"
"true", "godaddy.com"
"true", "google.com"
"true", "gopro.com"
"true", "grainger.com"
"true", "guitarcenter.com"
"true", "habitaclia.com"
"true", "hbo.com"
"true", "hbomax.com"
"true", "hgtv.com"
"true", "hilton.com"
"true", "hiltongrandvacations.com"
"true", "hiltonworldwide.com"
"true", "hm.com"
"true", "hmgroup.com"
"true", "hobbylobby.com"
"true", "homedepot.com"
"true", "homesense.com"
"true", "hotels.com"
"true", "hp.com"
"true", "hrblock.com"
"true", "htc.com"
"true", "htcexodus.com"
"true", "hulu.com"
"true", "hyosung.com"
"true", "hyosung-tns.com"
"true", "ibm.com"
"true", "icelandair.com"
"true", "icelandairgroup.com"
"true", "ikea.com"
"true", "image-line.com"
"true", "imageworks.com"
"true", "imdb.com"
"true", "indeed.com"
"true", "ing.com"
"true", "innoviafilms.com"
"true", "innovis.com"
"true", "instagram.com"
"true", "intel.com"
"true", "intelcapital.com"
"true", "internetbrands.com"
"true", "intuit.com"
"true", "ionos.com"
"true", "itasoftware.com"
"true", "itv.com"
"true", "itvplc.com"
"true", "itvstudios.com"
"true", "jackjones.com"
"true", "jetblue.com"
"true", "jif.com"
"true", "joann.com"
"true", "justia.com"
"true", "kayak.com"
"true", "kitchenaid.com"
"true", "klm.com"
"true", "klmhealthservices.com"
"true", "kmart.com"
"true", "kodak.com"
"true", "kohls.com"
"true", "kraken3d.com"
"true", "kroger.com"
"true", "labcorp.com"
"true", "lacoste.com"
"true", "lazada.com"
"true", "legalzoom.com"
"true", "lego.com"
"true", "levi.com"
"true", "levistrauss.com"
"true", "lexisnexis.com"
"true", "linkedin.com"
"true", "live.com"
"true", "logitech.com"
"true", "longhornsteakhouse.com"
"true", "loopnet.com"
"true", "lowes.com"
"true", "lysol.com"
"true", "machineryzone.com"
"true", "macys.com"
"true", "macysinc.com"
"true", "mailchimp.com"
"true", "makomedical.com"
"true", "marksandspencer.com"
"true", "marmot.com"
"true", "marriott.com"
"true", "marriottvacationclub.com"
"true", "marshalls.com"
"true", "martindale.com"
"true", "maytag.com"
"true", "mcdonalds.com"
"true", "mcmaster.com"
"true", "merrell.com"
"true", "michaels.com"
"true", "microsoft.com"
"true", "milanuncios.com"
"true", "us.misumi-ec.com"
"true", "mouser.com"
"true", "mscdirect.com"
"true", "municode.com"
"true", "mycorporation.com"
"true", "nanoporetech.com"
"true", "ncbold.com"
"true", "nestle.com"
"true", "nestle-caribbean.com"
"true", "nestle-centroamerica.com"
"true", "nestle-cwa.com"
"true", "nestle-esar.com"
"true", "nestle-mena.com"
"true", "nestleusa.com"
"true", "netflix.com"
"true", "partnerhelp.netflixstudios.com"
"true", "neutrogena.com"
"true", "nick.com"
"true", "nickcanada.com"
"true", "nickpress.com"
"true", "nolo.com"
"true", "nordstrom.com"
"true", "nordstromrack.com"
"true", "nordpass.com"
"true", "nordvpn.com"
"true", "nvidia.com"
"true", "oerlikon.com"
"true", "okdo.com"
"true", "openai.com"
"true", "outlast.com"
"true", "overstock.com"
"true", "paperspace.com"
"true", "paypal.com"
"true", "petsmart.com"
"true", "pfizer.com"
"true", "pfizerpro.com"
"true", "philips.com"
"true", "pinterest.com"
"true", "pixar.com"
"true", "pixelsquid.com"
"true", "premiumbeat.com"
"true", "propertygurugroup.com"
"true", "publix.com"
"true", "qualcomm.com"
"true", "quixel.com"
"true", "reddit.com"
"true", "redfin.com"
"true", "regus.com"
"true", "rei.com"
"true", "reichelt.com"
"true", "relx.com"
"true", "remax.com"
"true", "rent.com"
"true", "rentals.com"
"true", "rentpath.com"
"true", "rs-online.com"
"true", "rumah.com"
"true", "samsclub.com"
"true", "samsung.com"
"true", "sea.com"
"true", "sendhelper.com"
"true", "shutterstock.com"
"true", "simonandschuster.com"
"true", "simonandschusterpublishing.com"
"true", "skype.com"
"true", "smuckers.com"
"true", "smuckersuncrustables.com"
"true", "sothebys.com"
"true", "sothebysrealty.com"
"true", "sperry.com"
"true", "stackexchange.com"
"true", "stackoverflow.com"
"true", "steelseries.com"
"true", "substance3d.com"
"true", "target.com"
"true", "tetratech.com"
"true", "thermofisher.com"
"true", "thinkofliving.com"
"true", "thomsonreuters.com"
"true", "tmf-group.com"
"true", "toonboom.com"
"true", "toray.com"
"true", "tractorsupply.com"
"true", "transunion.com"
"true", "trendyol.com"
"true", "tripadvisor.com"
"true", "truckscorner.com"
"true", "truist.com"
"true", "turbosquid.com"
"true", "twilio.com"
"true", "twinmotion.com"
"true", "unifi.com"
"true", "unilever.com"
"true", "united.com"
"true", "unity.com"
"true", "unity3d.com"
"true", "unrealengine.com"
"true", "ups.com"
"true", "upwork.com"
"true", "usps.com"
"true", "visa.com"
"true", "visitsingapore.com"
"true", "vista.com"
"true", "vistaprint.com"
"true", "vistaprintcorporate.com"
"true", "vrbo.com"
"true", "wacom.com"
"true", "wakegov.com"
"true", "walgreens.com"
"true", "walgreensbootsalliance.com"
"true", "walmart.com"
"true", "wazoodle.com"
"true", "wellsfargo.com"
"true", "whatsapp.com"
"true", "whirlpool.com"
"true", "whirlpoolcorp.com"
"true", "wholefoodsmarket.com"
"true", "wolterskluwer.com"
"true", "wolverine.com"
"true", "wolverineworldwide.com"
"true", "xrite.com"
"true", "yahoo.com"
"true", "youtube.com"
"true", "zappos.com"
"true", "zillow.com"
"true", "zurich.com"
"true", "zurichna.com"
"true", "coursera.community"
"true", "cyprus.gov.cy"
"true", "dmrid.gov.cy"
"true", "dms.gov.cy"
"true", "dmsw.gov.cy"
"true", "mcw.gov.cy"
"true", "meci.gov.cy"
"true", "mfa.gov.cy"
"true", "mjpo.gov.cy"
"true", "mlsi.gov.cy"
"true", "moa.gov.cy"
"true", "moec.gov.cy"
"true", "mof.gov.cy"
"true", "moh.gov.cy"
"true", "moi.gov.cy"
"true", "pio.gov.cy"
"true", "tourism.gov.cy"
"true", "adevinta.de"
"true", "bund.de"
"true", "cartoonnetwork.de"
"true", "nestle.de"
"true", "cartoonnetwork.dk"
"true", "nestle.dk"
"true", "nestle.do"
"true", "vt.edu"
"true", "waketech.edu"
"true", "wcu.edu"
"true", "nestle.ee"
"true", "adevinta.es"
"true", "cartoonito.es"
"true", "costco.es"
"true", "fotocasa.es"
"true", "europa.eu"
"true", "toray.eu"
"true", "nestle.fi"
"true", "avendrealouer.fr"
"true", "boomerangtv.fr"
"true", "brother.fr"
"true", "cartoonito.fr"
"true", "costco.fr"
"true", "gouv.fr"
"true", "gouvernement.fr"
"true", "nestle.fr"
"true", "discord.gg"
"true", "search.app.goo.gl"
"true", "forms.gle"
"true", "google"
"true", "gov"
"true", "gov.hr"
"true", "nestle.hr"
"true", "gov.hu"
"true", "jofogas.hu"
"true", "nestle.hu"
"true", "lazada.co.id"
"true", "toray.co.id"
"true", "adverts.ie"
"true", "brother.ie"
"true", "cro.ie"
"true", "daft.ie"
"true", "gov.ie"
"true", "gumtree.ie"
"true", "homesense.ie"
"true", "nestle.ie"
"true", "toray.in"
"true", "int"
"true", "nestle.ir"
"true", "brother.is"
"true", "businessiceland.is"
"true", "costco.is"
"true", "ferdamalastofa.is"
"true", "google.is"
"true", "government.is"
"true", "hi.is"
"true", "holar.is"
"true", "hugverk.is"
"true", "icelandairgroup.is"
"true", "ruv.is"
"true", "safetravel.is"
"true", "stjornarradid.is"
"true", "yskn.is"
"true", "boomerangtv.it"
"true", "cartoonito.it"
"true", "governo.it"
"true", "nestle.it"
"true", "cartoonnetwork.jp"
"true", "costco.co.jp"
"true", "misumi.co.jp"
"true", "toray.co.jp"
"true", "costco.co.kr"
