"blocked", "domain"
"true", "abis.int"
"true", "appa.int"
"true", "aventail.commonwealth.int"
"true", "comsharex.commonwealth.int"
"true", "col.int"
"true", "ctbto.int"
"true", "edu.int"
"true", "efo.int"
"true", "etc-waste.int"
"true", "gip.int"
"true", "iaea.int"
"true", "intelsat.int"
"true", "redcross.int"
"true", "set-ca.card.reg.int"
"true", "ripe.int"
"true", "soia.int"
"true", "sopac.int"
"true", "thecommonwealth.int"
"true", "tpc.int"
"true", "weu.int"
"true", "wno.int"
"true", "worldbank.int"
"true", "wto.int"
"true", "ymca.int"
